name,bus0,bus1,x,r,b,s_nom
line_73,61,46,0.048561,0.006971,0.00794,221.1
line_74,122,46,0.065419,0.010129,0.01248,221.1
line_75,47,54,0.045623,0.006678,0.00776,221.1
line_76,47,66,0.047401,0.007339,0.00904,221.1
line_77,49,48,0.532021,0.027149,0.0,28.9
line_78,50,48,0.404167,0.021719,0.0,28.7
line_79,51,48,0.612711,0.027149,0.0,24.3
line_80,52,48,0.379817,0.021719,0.0,24.3
line_81,53,48,0.576549,0.02121,0.0,35.3
line_82,48,74,0.054369,0.007959,0.00925,221.1
line_83,54,66,0.045544,0.007051,0.00869,221.1
line_84,56,55,0.124653,0.005152,0.0,160.0
line_85,81,55,0.039054,0.005467,0.0712,402.36
line_86,55,102,0.008902,0.001246,0.01623,402.36
line_87,55,112,0.029763,0.004166,0.05426,402.36
line_88,55,128,0.024395,0.003415,0.04448,402.36
line_89,56,103,0.02983,0.004282,0.00488,221.1
line_90,57,159,0.051369,0.00752,0.00874,221.1
line_91,95,58,0.063526,0.009836,0.01212,221.1
line_92,177,58,0.095972,0.014049,0.01633,221.1
line_93,59,119,0.072397,0.011209,0.01381,221.1
line_94,59,139,0.062426,0.009665,0.01191,221.1
line_95,60,97,0.079279,0.012274,0.01512,221.1
line_96,134,60,0.062749,0.009007,0.01026,221.1
line_97,61,103,0.045556,0.006539,0.00745,221.1
line_98,159,62,0.058979,0.008634,0.01003,221.1
line_99,160,62,0.053144,0.007628,0.00869,221.1
line_100,63,66,0.083244,0.011949,0.01361,221.1
line_101,63,184,0.116023,0.017963,0.02214,221.1
line_102,65,64,0.10157,0.00128,0.0,195.5
line_103,67,66,0.144786,0.020951,0.0,30.0
line_104,68,66,0.264997,0.00689,0.0,73.0
line_105,69,66,0.09499,0.00441,0.0,70.5
line_106,70,66,0.199449,0.00689,0.0,70.5
line_107,71,66,0.081544,0.003528,0.0,68.0
line_108,72,66,0.074599,0.003528,0.0,68.0
line_109,73,66,0.146423,0.00689,0.0,65.0
line_110,66,158,0.032251,0.004993,0.00615,221.1
line_111,74,190,0.06076,0.008894,0.01034,221.1
line_112,76,75,0.784328,0.038464,0.0,24.3
line_113,77,75,2.192105,0.08013,0.0,7.4
line_114,78,75,0.181406,0.008544,0.0,65.0
line_115,79,75,0.277774,0.01068,0.0,62.1
line_116,108,75,0.070969,0.010988,0.01354,221.1
line_117,75,157,0.087112,0.013487,0.01662,221.1
line_118,80,100,0.149525,0.021463,0.02444,221.1
line_119,80,143,0.14347,0.020594,0.02345,221.1
line_120,82,81,0.042371,0.00097,0.0,250.0
line_121,81,178,0.047137,0.006598,0.08594,402.36
line_122,82,195,0.026265,0.003845,0.00447,221.1
line_123,83,146,0.036767,0.005382,0.00626,221.1
line_124,83,186,0.055174,0.00792,0.00902,221.1
line_125,84,113,0.04544,0.006652,0.00773,221.1
line_126,85,120,0.050291,0.007786,0.00959,221.1
line_127,86,101,0.033072,0.00512,0.00631,221.1
line_128,142,86,0.023141,0.003387,0.00394,221.1
line_129,86,193,0.042664,0.006606,0.00814,221.1
line_130,88,87,0.034189,0.000832,0.0,350.0
line_131,149,87,0.011579,0.001621,0.02111,402.36
line_132,88,150,0.035973,0.00557,0.00686,221.1
line_133,176,88,0.024922,0.003859,0.00475,221.1
line_134,88,194,0.029088,0.004258,0.00495,221.1
line_135,90,89,2.279922,0.0601,0.0,8.6
line_136,91,89,0.503424,0.024614,0.0,32.0
line_137,92,89,0.36204,0.019539,0.0,35.3
line_138,89,95,0.056409,0.008734,0.01076,221.1
line_139,188,89,0.051996,0.00805,0.00992,221.1
line_140,94,93,0.280602,0.01068,0.0,62.1
line_141,93,191,0.142662,0.022088,0.02722,221.1
line_142,122,96,0.073986,0.01062,0.01209,221.1
line_143,96,143,0.102423,0.015858,0.01954,221.1
line_144,96,188,0.070421,0.010903,0.01343,221.1
line_145,97,200,0.085125,0.01318,0.01624,221.1
line_146,99,98,0.030516,0.000643,0.0,250.0
line_147,98,123,0.033574,0.0047,0.06121,402.36
line_148,99,142,0.052982,0.007605,0.00866,221.1
line_149,100,174,0.074531,0.010698,0.01218,221.1
line_150,100,179,0.049413,0.007093,0.00808,221.1
line_151,100,184,0.08879,0.012745,0.01451,221.1
line_152,110,101,0.012657,0.00196,0.00241,221.1
line_153,101,117,0.035833,0.005245,0.0061,221.1
line_154,101,141,0.020305,0.003144,0.00387,221.1
line_155,103,102,0.054578,0.001709,0.0,250.0
line_156,104,102,0.087749,0.0021,0.0,130.0
line_157,105,102,0.059419,0.00097,0.0,260.0
line_158,102,128,0.019292,0.0027,0.03517,402.36
line_159,103,106,0.053987,0.007749,0.00883,221.1
line_160,130,106,0.047761,0.006991,0.00813,221.1
line_161,107,113,0.046101,0.006748,0.00784,221.1
line_162,107,129,0.035307,0.005168,0.00601,221.1
line_163,192,107,0.025441,0.003939,0.00485,221.1
line_164,108,198,0.160126,0.024792,0.03055,221.1
line_165,186,109,0.059942,0.008774,0.0102,221.1
line_166,110,193,0.022243,0.003444,0.00424,221.1
line_167,163,111,0.034111,0.005281,0.00651,221.1
line_168,111,175,0.055386,0.00795,0.00905,221.1
line_169,113,112,0.058615,0.002077,0.0,350.0
line_170,114,112,0.434013,0.06,0.0,20.0
line_171,115,112,0.062771,0.00128,0.0,200.0
line_172,128,112,0.009255,0.001295,0.01687,402.36
line_173,113,192,0.034995,0.005418,0.00668,221.1
line_174,117,116,0.034943,0.000517,0.0,300.0
line_175,133,116,0.027793,0.00389,0.05067,402.36
line_176,117,132,0.082984,0.011912,0.01357,221.1
line_177,117,162,0.104442,0.01617,0.01993,221.1
line_178,131,118,0.046377,0.00718,0.00885,221.1
line_179,118,134,0.0808,0.011598,0.01321,221.1
line_180,118,198,0.064809,0.009487,0.01103,221.1
line_181,122,121,0.063023,0.000786,0.0,200.0
line_182,121,178,0.063604,0.008903,0.11596,402.36
line_183,187,121,0.007593,0.001063,0.01384,402.36
line_184,124,123,0.017481,0.000329,0.0,400.0
line_185,125,123,0.104562,0.00448,0.0,170.0
line_186,126,123,0.066043,0.00148,0.0,170.0
line_187,127,123,0.031691,0.001,0.0,170.0
line_188,123,133,0.010423,0.001459,0.019,402.36
line_189,156,123,0.007981,0.001117,0.01455,402.36
line_190,124,193,0.04582,0.006577,0.00749,221.1
line_191,129,128,0.044453,0.000753,0.0,250.0
line_192,128,133,0.068257,0.009554,0.12444,402.36
line_193,130,144,0.157988,0.022678,0.02583,221.1
line_194,134,133,0.013328,0.0002,0.0,400.0
line_195,135,133,0.033512,0.00043,0.0,580.0
line_196,136,133,0.027478,0.00043,0.0,580.0
line_197,156,133,0.013985,0.001958,0.0255,402.36
line_198,134,140,0.071357,0.010445,0.01214,221.1
line_199,134,186,0.093412,0.014463,0.01782,221.1
line_200,138,139,0.184455,0.026477,0.03015,221.1
line_201,138,195,0.05637,0.008728,0.01075,221.1
line_202,141,148,0.065817,0.01019,0.01256,221.1
line_203,141,193,0.018702,0.002896,0.00357,221.1
line_204,162,144,0.048504,0.006962,0.00793,221.1
line_205,145,176,0.060111,0.008799,0.01023,221.1
line_206,185,145,0.075509,0.010839,0.01234,221.1
line_207,147,146,0.10181,0.0025,0.0,130.6
line_208,146,177,0.07708,0.011064,0.0126,221.1
line_209,150,149,0.020251,0.000412,0.0,400.0
line_210,151,149,0.625521,0.02267,0.0,20.0
line_211,152,149,0.141687,0.00249,0.0,100.0
line_212,153,149,0.184603,0.00549,0.0,100.0
line_213,154,149,0.10294,0.00249,0.0,100.0
line_214,155,149,0.099835,0.00249,0.0,100.0
line_215,185,150,0.091934,0.013458,0.01564,221.1
line_216,194,150,0.021435,0.003138,0.00365,221.1
line_217,157,156,0.045654,0.000592,0.0,300.0
line_218,161,160,0.080288,0.00139,0.0,180.2
line_219,160,181,0.029345,0.004296,0.00499,221.1
line_220,164,163,0.11301,0.008207,0.0,58.1
line_221,165,163,0.301657,0.0074,0.0,65.0
line_222,166,163,0.382075,0.016368,0.0,42.0
line_223,167,163,0.196499,0.010476,0.0,42.0
line_224,168,163,0.490983,0.018,0.0,40.0
line_225,169,163,0.396417,0.016368,0.0,40.0
line_226,170,163,0.374902,0.016368,0.0,35.6
line_227,163,179,0.039557,0.00579,0.00673,221.1
line_228,171,190,0.0674,0.009866,0.01147,221.1
line_229,195,171,0.081116,0.011644,0.01326,221.1
line_230,180,172,0.106558,0.015296,0.01742,221.1
line_231,199,172,0.155042,0.024005,0.02958,221.1
line_232,173,174,0.099293,0.015373,0.01894,221.1
line_233,173,175,0.055363,0.008572,0.01056,221.1
line_234,174,188,0.12264,0.017952,0.02087,221.1
line_235,179,178,0.036157,0.000495,0.0,250.0
line_236,180,191,0.183866,0.026393,0.03006,221.1
line_237,180,199,0.078698,0.012185,0.01501,221.1
line_238,182,181,0.297746,0.01099,0.0,60.3
line_239,183,181,0.114254,0.004627,0.0,65.0
line_240,181,194,0.028384,0.004395,0.00542,221.1
line_241,188,187,0.044762,0.001394,0.0,400.0
line_242,189,187,0.007815,0.0003,0.0,740.0
line_243,196,195,0.060038,0.00285,0.0,87.7
line_244,197,195,0.191484,0.00285,0.0,87.7
